date;open;high;low;close;volume;ticker;30d_ma;90d_ma
16.05.2024;16738.11;16797.83;16693.45;16698.32;11932600000.0;NASDAQ Composite;16052.326000000001;15894.567444444445
17.05.2024;16708.49;16726.41;16613.84;16685.97;9587280000.0;NASDAQ Composite;16066.907666666666;15914.881444444445
20.05.2024;16702.02;16823.83;16695.69;16794.87;6861320000.0;NASDAQ Composite;16084.938;15935.161666666667
21.05.2024;16736.1;16839.02;16719.97;16832.62;6245090000.0;NASDAQ Composite;16102.470666666666;15955.855333333333
22.05.2024;16839.02;16855.27;16712.09;16801.54;7277340000.0;NASDAQ Composite;16123.510000000002;15976.175111111112
23.05.2024;16996.39;16996.39;16678.37;16736.03;7752800000.0;NASDAQ Composite;16133.304333333333;15996.082666666665
24.05.2024;16786.79;16947.8;16771.58;16920.79;5836040000.0;NASDAQ Composite;16158.160999999998;16019.029
28.05.2024;16988.31;17032.66;16917.51;17019.88;6293380000.0;NASDAQ Composite;16195.989666666665;16040.853777777778
29.05.2024;16879.35;16989.6;16873.97;16920.58;6652480000.0;NASDAQ Composite;16231.167333333333;16058.738333333333
30.05.2024;16878.63;16900.46;16690.36;16737.08;6659290000.0;NASDAQ Composite;16266.291;16074.036
31.05.2024;16771.9;16789.27;16445.54;16735.02;6674090000.0;NASDAQ Composite;16304.075;16088.581333333332
03.06.2024;16865.7;16909.89;16646.43;16828.67;5422040000.0;NASDAQ Composite;16355.630333333334;16103.545222222223
04.06.2024;16823.88;16891.87;16750.39;16857.05;4917350000.0;NASDAQ Composite;16402.488333333335;16118.50688888889
05.06.2024;16974.48;17187.92;16955.56;17187.9;5325000000.0;NASDAQ Composite;16452.197;16137.757333333333
06.06.2024;17204.87;17235.73;17123.59;17173.12;4960580000.0;NASDAQ Composite;16500.876;16154.924888888889
07.06.2024;17124.14;17229.31;17090.04;17133.13;4755650000.0;NASDAQ Composite;16551.588333333333;16172.960777777778
10.06.2024;17083.45;17213.45;17057.34;17192.53;5207110000.0;NASDAQ Composite;16593.742666666665;16195.49988888889
11.06.2024;17160.42;17345.05;17107.99;17343.55;5009220000.0;NASDAQ Composite;16639.091666666667;16217.521111111113
12.06.2024;17502.15;17725.39;17490.64;17608.44;5560630000.0;NASDAQ Composite;16704.112333333334;16239.515444444445
13.06.2024;17715.27;17741.8;17566.32;17667.56;4916020000.0;NASDAQ Composite;16772.84833333333;16262.514111111112
14.06.2024;17621.18;17693.43;17590.8;17688.88;4973820000.0;NASDAQ Composite;16834.445666666667;16285.623888888887
17.06.2024;17697.3;17935.99;17636.36;17857.02;6061200000.0;NASDAQ Composite;16891.13533333333;16308.961444444445
18.06.2024;17856.76;17890.52;17796.88;17862.23;5796180000.0;NASDAQ Composite;16941.568;16331.945
20.06.2024;17913.94;17936.79;17650.69;17721.59;6289300000.0;NASDAQ Composite;16987.869;16351.177555555556
21.06.2024;17681.01;17787.34;17620.57;17689.36;8589160000.0;NASDAQ Composite;17034.089;16370.586555555556
24.06.2024;17640.26;17730.12;17494.02;17496.82;5503210000.0;NASDAQ Composite;17072.441;16391.044555555556
25.06.2024;17572.16;17734.34;17546.63;17717.65;4848280000.0;NASDAQ Composite;17118.333666666666;16411.694555555554
26.06.2024;17697.27;17813.55;17687.07;17805.16;5294310000.0;NASDAQ Composite;17165.564333333332;16432.794444444444
27.06.2024;17793.95;17892.78;17765.42;17858.68;5382060000.0;NASDAQ Composite;17210.481;16455.939222222223
28.06.2024;17891.1;18035.0;17723.83;17732.6;8960940000.0;NASDAQ Composite;17243.488;16479.29277777778
01.07.2024;17773.9;17894.28;17657.64;17879.3;5189990000.0;NASDAQ Composite;17282.854;16504.830888888886
02.07.2024;17808.04;18031.29;17802.24;18028.76;4526550000.0;NASDAQ Composite;17327.613666666668;16526.91022222222
03.07.2024;18016.12;18188.3;18016.12;18188.3;3713960000.0;NASDAQ Composite;17374.061333333335;16551.26
05.07.2024;18200.6;18366.31;18197.14;18352.76;4851000000.0;NASDAQ Composite;17424.732666666667;16577.665666666664
08.07.2024;18371.86;18416.94;18342.6;18403.74;5286260000.0;NASDAQ Composite;17478.139333333333;16603.981666666667
09.07.2024;18465.02;18511.89;18381.6;18429.29;4839140000.0;NASDAQ Composite;17534.581333333335;16631.554444444442
10.07.2024;18512.09;18655.19;18467.58;18647.45;5228240000.0;NASDAQ Composite;17592.136666666665;16659.94922222222
11.07.2024;18659.25;18671.07;18238.78;18283.41;6366620000.0;NASDAQ Composite;17634.254333333334;16682.265555555558
12.07.2024;18303.64;18556.73;18293.6;18398.45;5845930000.0;NASDAQ Composite;17683.516666666666;16706.609333333334
15.07.2024;18485.91;18641.53;18397.83;18472.57;5450350000.0;NASDAQ Composite;17741.36633333333;16734.753555555555
16.07.2024;18534.27;18576.83;18386.07;18509.34;5812930000.0;NASDAQ Composite;17800.51033333333;16762.284666666666
17.07.2024;18188.19;18223.24;17972.87;17996.92;6007280000.0;NASDAQ Composite;17839.451999999997;16781.43511111111
18.07.2024;18119.15;18130.87;17759.54;17871.22;5977260000.0;NASDAQ Composite;17873.257666666665;16801.280777777778
19.07.2024;17835.59;17935.14;17691.43;17726.94;4992930000.0;NASDAQ Composite;17891.22566666667;16820.25488888889
22.07.2024;17923.65;18040.99;17839.76;18007.57;5093620000.0;NASDAQ Composite;17919.040666666664;16839.609666666667
23.07.2024;17982.74;18128.38;17968.1;17997.35;4938000000.0;NASDAQ Composite;17947.847999999998;16859.827222222222
24.07.2024;17733.91;17747.06;17313.52;17342.41;6735560000.0;NASDAQ Composite;17952.844;16873.314777777778
25.07.2024;17352.64;17544.46;17033.96;17181.72;6114350000.0;NASDAQ Composite;17947.449666666667;16886.74311111111
26.07.2024;17331.95;17454.57;17239.99;17357.88;5281560000.0;NASDAQ Composite;17939.09766666667;16900.68122222222
