user_workdays_count;recs_paid;recs_shown;conversion;user_work_years
224.0;0.0;72;0.0;0.6
1745.0;0.0;253;0.0;4.8
557.0;0.0;77;0.0;1.5
782.0;0.0;13;0.0;2.1
1745.0;0.0;3;0.0;4.8
1747.0;0.0;240;0.0;4.8
1248.0;0.0;6;0.0;3.4
250.0;0.0;3;0.0;0.7
781.0;0.0;37;0.0;2.1
1746.0;0.0;4;0.0;4.8
1110.0;0.0;36;0.0;3.0
1216.0;0.0;47;0.0;3.3
1746.0;0.0;1;0.0;4.8
1746.0;0.0;116;0.0;4.8
1250.0;0.0;187;0.0;3.4
111.0;0.0;57;0.0;0.3
126.0;0.0;26;0.0;0.3
1330.0;0.0;44;0.0;3.6
323.0;0.0;4;0.0;0.9
95.0;0.0;20;0.0;0.3
1746.0;0.0;10;0.0;4.8
654.0;0.0;9;0.0;1.8
26.0;0.0;5;0.0;0.1
1743.0;0.0;56;0.0;4.8
705.0;0.0;3;0.0;1.9
681.0;0.0;127;0.0;1.9
1747.0;0.0;42;0.0;4.8
57.0;0.0;303;0.0;0.2
1746.0;0.0;243;0.0;4.8
362.0;0.0;1;0.0;1.0
231.0;0.0;8;0.0;0.6
942.0;0.0;201;0.0;2.6
1746.0;0.0;105;0.0;4.8
1526.0;0.0;3;0.0;4.2
900.0;0.0;235;0.0;2.5
1747.0;0.0;102;0.0;4.8
542.0;0.0;46;0.0;1.5
912.0;0.0;41;0.0;2.5
1391.0;0.0;100;0.0;3.8
60.0;0.0;5;0.0;0.2
1229.0;0.0;185;0.0;3.4
523.0;0.0;75;0.0;1.4
789.0;0.0;57;0.0;2.2
1002.0;0.0;141;0.0;2.7
391.0;0.0;2;0.0;1.1
397.0;0.0;84;0.0;1.1
1747.0;0.0;138;0.0;4.8
35.0;0.0;75;0.0;0.1
368.0;0.0;141;0.0;1.0
400.0;0.0;59;0.0;1.1
216.0;0.0;61;0.0;0.6
986.0;0.0;9;0.0;2.7
844.0;0.0;58;0.0;2.3
1076.0;0.0;217;0.0;2.9
923.0;0.0;11;0.0;2.5
1747.0;0.0;7;0.0;4.8
1743.0;1.0;5;0.2;4.8
302.0;2.0;28;0.071;0.8
1322.0;0.0;84;0.0;3.6
1747.0;0.0;180;0.0;4.8
1743.0;0.0;9;0.0;4.8
291.0;0.0;149;0.0;0.8
1744.0;0.0;6;0.0;4.8
125.0;0.0;77;0.0;0.3
1359.0;3.0;75;0.04;3.7
1629.0;0.0;109;0.0;4.5
1745.0;0.0;40;0.0;4.8
898.0;0.0;10;0.0;2.5
