;fabric_width(m);slice_tuple;total_slice;waste;qty;total_qty;%_of_total;%_of_valuable;%_of_waste
433;2.4;0.55|0.65|;1.2000000000000002;1.1999999999999997;1;2694;0.0003711952487008166;0.5000000000000001;0.4999999999999999
434;2.4;0.55|0.6|0.7;1.8499999999999999;0.55;1;2694;0.0003711952487008166;0.7708333333333333;0.22916666666666669
435;2.4;0.55|0.7|;1.25;1.15;1;2694;0.0003711952487008166;0.5208333333333334;0.47916666666666663
436;2.4;0.55|1.1|;1.6500000000000001;0.7499999999999998;1;2694;0.0003711952487008166;0.6875000000000001;0.31249999999999994
442;2.4;0.5|0.7|;1.2;1.2;1;2694;0.0003711952487008166;0.5;0.5
446;2.4;0.5|1.8|;2.3;0.10000000000000009;1;2694;0.0003711952487008166;0.9583333333333333;0.041666666666666706
448;2.4;0.65|0.75|0.8;2.2;0.19999999999999973;1;2694;0.0003711952487008166;0.9166666666666667;0.08333333333333323
449;2.4;0.65|0.7|;1.35;1.0499999999999998;1;2694;0.0003711952487008166;0.5625000000000001;0.43749999999999994
450;2.4;0.65|1.2|;1.85;0.5499999999999998;1;2694;0.0003711952487008166;0.7708333333333334;0.2291666666666666
452;2.4;0.6|0.6|0.6|0.6|;2.4;0.0;1;2694;0.0003711952487008166;1.0;0.0
455;2.4;0.6|0.7|;1.2999999999999998;1.1;1;2694;0.0003711952487008166;0.5416666666666666;0.45833333333333337
456;2.4;0.6|0.8|0.9;2.3;0.10000000000000009;1;2694;0.0003711952487008166;0.9583333333333333;0.041666666666666706
466;2.4;0.75;0.75;1.65;1;2694;0.0003711952487008166;0.3125;0.6875
467;2.4;0.7|0.9|;1.6;0.7999999999999998;1;2694;0.0003711952487008166;0.6666666666666667;0.33333333333333326
469;2.4;0.7|1.2|;1.9;0.5;1;2694;0.0003711952487008166;0.7916666666666666;0.20833333333333334
473;2.4;0.8|0.8|0.8;2.4000000000000004;-4.440892098500626e-16;1;2694;0.0003711952487008166;1.0000000000000002;-1.8503717077085943e-16
474;2.4;0.8|1.1|;1.9000000000000001;0.4999999999999998;1;2694;0.0003711952487008166;0.7916666666666667;0.20833333333333326
485;2.4;1.47;1.47;0.9299999999999999;1;2694;0.0003711952487008166;0.6125;0.3875
389;2.3;1.63;1.63;0.6699999999999999;151;1012;0.1492094861660079;0.7086956521739131;0.29130434782608694
385;2.3;1.0;1.0;1.2999999999999998;104;1012;0.10276679841897234;0.4347826086956522;0.5652173913043478
